"Distribution (in percentage) of Canada's immigrant population in the provinces and territories, census years 1981 to 2021"
"Canada"
Provinces and territories,Census years,Percentage (%)
"Newfoundland and Labrador","1981","0.3"
"Newfoundland and Labrador","1986","0.2"
"Newfoundland and Labrador","1991","0.2"
"Newfoundland and Labrador","1996","0.2"
"Newfoundland and Labrador","2001","0.1"
"Newfoundland and Labrador","2006","0.1"
"Newfoundland and Labrador","2011","0.1"
"Newfoundland and Labrador","2016","0.2"
"Newfoundland and Labrador","2021","0.2"
"Prince Edward Island","1981","0.1"
"Prince Edward Island","1986","0.1"
"Prince Edward Island","1991","0.1"
"Prince Edward Island","1996","0.1"
"Prince Edward Island","2001","0.1"
"Prince Edward Island","2006","0.1"
"Prince Edward Island","2011","0.1"
"Prince Edward Island","2016","0.1"
"Prince Edward Island","2021","0.1"
"Nova Scotia","1981","1.1"
"Nova Scotia","1986","1"
"Nova Scotia","1991","0.9"
"Nova Scotia","1996","0.8"
"Nova Scotia","2001","0.8"
"Nova Scotia","2006","0.7"
"Nova Scotia","2011","0.7"
"Nova Scotia","2016","0.7"
"Nova Scotia","2021","0.9"
"New Brunswick","1981","0.7"
"New Brunswick","1986","0.7"
"New Brunswick","1991","0.6"
"New Brunswick","1996","0.5"
"New Brunswick","2001","0.4"
"New Brunswick","2006","0.4"
"New Brunswick","2011","0.4"
"New Brunswick","2016","0.4"
"New Brunswick","2021","0.5"
"Quebec","1981","13.6"
"Quebec","1986","13.5"
"Quebec","1991","13.6"
"Quebec","1996","13.4"
"Quebec","2001","13"
"Quebec","2006","13.8"
"Quebec","2011","14.4"
"Quebec","2016","14.5"
"Quebec","2021","14.5"
"Ontario","1981","52.4"
"Ontario","1986","53.3"
"Ontario","1991","54.6"
"Ontario","1996","54.8"
"Ontario","2001","55.6"
"Ontario","2006","54.9"
"Ontario","2011","53.3"
"Ontario","2016","51.1"
"Ontario","2021","50.3"
"Manitoba","1981","3.8"
"Manitoba","1986","3.6"
"Manitoba","1991","3.2"
"Manitoba","1996","2.7"
"Manitoba","2001","2.5"
"Manitoba","2006","2.4"
"Manitoba","2011","2.7"
"Manitoba","2016","3"
"Manitoba","2021","3.1"
"Saskatchewan","1981","2.2"
"Saskatchewan","1986","1.8"
"Saskatchewan","1991","1.3"
"Saskatchewan","1996","1.1"
"Saskatchewan","2001","0.9"
"Saskatchewan","2006","0.8"
"Saskatchewan","2011","1"
"Saskatchewan","2016","1.5"
"Saskatchewan","2021","1.6"
"Alberta","1981","9.4"
"Alberta","1986","9.4"
"Alberta","1991","8.8"
"Alberta","1996","8.1"
"Alberta","2001","8"
"Alberta","2006","8.5"
"Alberta","2011","9.5"
"Alberta","2016","11.2"
"Alberta","2021","11.6"
"British Columbia","1981","16.3"
"British Columbia","1986","16.1"
"British Columbia","1991","16.7"
"British Columbia","1996","18.2"
"British Columbia","2001","18.5"
"British Columbia","2006","18.1"
"British Columbia","2011","17.6"
"British Columbia","2016","17.1"
"British Columbia","2021","17.1"
"Yukon","1981","0.1"
"Yukon","1986","0.1"
"Yukon","1991","0.1"
"Yukon","1996","0.1"
"Yukon","2001","0.1"
"Yukon","2006","0"
"Yukon","2011","0.1"
"Yukon","2016","0.1"
"Yukon","2021","0.1"
"Northwest Territories","1981","0.1"
"Northwest Territories","1986","0.1"
"Northwest Territories","1991","0.1"
"Northwest Territories","1996","0.1"
"Northwest Territories","2001","0"
"Northwest Territories","2006","0"
"Northwest Territories","2011","0"
"Northwest Territories","2016","0"
"Northwest Territories","2021","0"
"Nunavut","1981","0"
"Nunavut","1986","0"
"Nunavut","1991","0"
"Nunavut","1996","0"
"Nunavut","2001","0"
"Nunavut","2006","0"
"Nunavut","2011","0"
"Nunavut","2016","0"
"Nunavut","2021","0"

Symbols:
..,not available for a specific reference period
...,not applicable
E,use with caution
F,too unreliable to be published
r, revised
x,suppressed to meet the confidentiality requirements of the Statistics Act
rE,Revised. Use with caution.

"Source: Statistics Canada, 2021 Census of Population."

"How to cite: Statistics Canada. 2022. Focus on Geography Series. 2021 Census."
"Statistics Canada Catalogue no. 98-404-X2016001. Ottawa, Ontario. Release date: February 9, 2022. Updated on: November 30, 2022."
"http://www12.statcan.gc.ca/census-recensement/2021/as-sa/fogs-spg/index.cfm?Lang=E"

